이름,도로명주소,방문자 평점,상세페이지URL
명헌,경기 수원시 영통구 센트럴타운로100번길 14 명헌,4.79,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1897343825
홍화루,경기 수원시 팔달구 월드컵로321번길 5,4.42,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/20361807
불맛짬뽕집,경기 수원시 영통구 센트럴파크로127번길 80-14,4.61,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1469938812
송탄영빈루 광교점,경기 수원시 영통구 센트럴타운로 85 지층 CB6호,4.24,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1280838636
조원동 교동반점 광교점,경기 수원시 영통구 대학1로8번길 63,4.3,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/38643362
황가네짬뽕,경기 수원시 영통구 대학로 60 리치프라자3 1층,4.36,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1434410697
만다린,경기 수원시 장안구 창훈로60번길 40 팔복빌딩,4.35,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/18007202
호접몽 광교,경기 수원시 영통구 센트럴타운로 107 광교푸르지오 월드마크 월드스퀘어 1층 105호,4.23,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1398271624
태양부양꼬치 광교점,경기 수원시 영통구 대학1로 36 1층,4.56,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1588452505
오늘중식GO,경기 수원시 영통구 센트럴파크로127번길 105-2 1층,4.27,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1954665955
