이름,도로명주소,방문자 평점,상세페이지URL
남도예찬,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층 아띠존 C111,4.48,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1026282129
낙원갈비집 수원월드컵점,경기 수원시 팔달구 월드컵로 307 1층,4.75,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1198987964
선비칼국수 광교중앙역점,경기 수원시 영통구 도청로 95 유니코어 배타동 1층 선비손칼국수,4.75,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1142521317
갈풍집,경기 수원시 영통구 대학1로8번길 83,4.33,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37089394
동태찌개유명한집 연무본점,경기 수원시 장안구 창룡대로207번길 5 1층,4.34,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/20601703
부마보쌈족발 본점,경기 수원시 영통구 센트럴타운로 103 1층,4.52,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/35807078
황소갈비 월드스퀘어점,경기 수원시 영통구 센트럴타운로 107 204호 지하1층 b-70호,4.74,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1208032233
춘천에서 온 숯닭,경기 수원시 영통구 대학로 12 춘천에서 온 숯닭,4.72,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37520421
홍남매칼국수,경기 수원시 장안구 광교산로 42,4.5,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1672700257
고반식당 광교월드스퀘어점,"경기 수원시 영통구 센트럴타운로 107 월드스퀘어 1층 05호,06호 (Gate 4)",4.66,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1950597058
장비빔국수와 굴국밥 보쌈 수원본점,경기 수원시 장안구 수원천로 439,4.11,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1004699369
어랑다랑,경기 수원시 영통구 대학1로 20,4.4,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37486060
개성손만두 수원월드컵점,경기 수원시 팔달구 월드컵로 319 개성손만두 수원월드컵점,4.39,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1301127452
상원회관,경기 수원시 영통구 대학1로 12 1층,4.92,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1725971291
예전각설렁탕,경기 수원시 장안구 경수대로 813,4.39,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/38462922
마라도해물탕&찜 광교점,경기 수원시 영통구 대학로 56 1층,4.61,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1783093160
국수집,경기 수원시 장안구 창훈로66번길 16-14 신라족발,4.43,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/969291944
소소곱창,경기 수원시 영통구 대학로 14 1층 소소곱창,4.88,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1744255477
옛골칼국수,경기 수원시 장안구 연무로7번길 4 대영빌라,4.41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/33786154
이춘복참치 광교점,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 2층 B201호,4.18,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1907405218
아지매해물칼국수,경기 수원시 팔달구 월드컵로 379,4.29,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/21134052
송도갈비 광교월드마크점,경기 수원시 영통구 센트럴타운로 107 2층,4.38,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1684776920
사또통족발 경기본점,경기 수원시 장안구 연무로 37-2,4.58,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/21855010
돈블랑 광교역점,경기 수원시 영통구 대학로 60,4.46,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1527762894
화홍문갈비,경기 수원시 장안구 월드컵로 438 화홍문갈비,4.33,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1145575879
바다향왕코다리 광교점,"경기 수원시 영통구 대학3로4번길 7 지하1층(로비층) 111,112,113호",4.19,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/38013111
그대에게 광교점,경기 수원시 영통구 센트럴파크로127번길 80-6 1층 그대에게,4.73,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1280405270
진배기고깃간 광교점,"경기 수원시 영통구 대학1로58번길 5 1층, 광교종합 사회복지관 앞에 위치해 있습니다^^",4.79,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1041835003
배대감 갈비촌,경기 수원시 영통구 대학4로 40,4.46,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37741689
고베맨숀,경기 수원시 영통구 대학1로58번길 6 광교사회복지관 주차장 뒷쪽 1층 고베맨,4.43,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1805415848
보돌미역 광교 서씨점,경기 수원시 영통구 센트럴파크로127번길 80-5,4.29,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1825483885
콩지팥찌,경기 수원시 장안구 광교산로 160,4.09,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1543843703
