이름,도로명주소,방문자 평점,상세페이지URL
335kitchen 광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 2층 208호,4.35,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/36528326
겐코쇼쿠도 경기대점,경기 수원시 영통구 대학로 34,4.36,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1584732999
후라토식당 아브뉴프랑광교점,"경기 수원시 영통구 센트럴타운로 85 지1층 cb19, 20호",4.58,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1160023764
스시유카이,경기 수원시 영통구 센트럴파크로127번길 103-1,4.33,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/526079944
엉클정 타코야끼연구소,경기 수원시 영통구 대학3로4번길 12 이스턴타워 110호,4.82,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1389822469
심야식당 후라후라,경기 수원시 영통구 센트럴타운로 107 월드스퀘어 1-120 심야식당 후라후라,4.62,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1852482619
유루유루스시,경기 수원시 영통구 센트럴파크로127번길 68 101호,4.63,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1137886608
타코랜드타코야끼 경기대점,경기 수원시 장안구 창훈로 63,4.71,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1229713646
카이센키친,경기 수원시 영통구 센트럴파크로127번길 114 지1층상가,4.66,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1240591239
도꼬돈부리 광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 아띠존 1층 cb28호,4.38,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1160621852
동경당,경기 수원시 영통구 대학1로54번길 11 1층 동경당,4.31,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1983411199
브라운돈까스 광교 대학로점,경기 수원시 영통구 대학3로4번길 15 테라스힐오피스텔상가 A동(1동)115호 브라운돈까스,4.54,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1242141402
못토 철판요리,경기 수원시 영통구 센트럴파크로127번길 97-1,4.77,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1905292291
주점 하루카,경기 수원시 영통구 대학1로64번길 37 101호 주점 하루카,4.65,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1166916734
