이름,도로명주소,방문자 평점,상세페이지URL
라고,경기 수원시 영통구 센트럴타운로 85 광교 아브뉴프랑 1층 중앙광장,4.76,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/37838366
오이탈리안,경기 수원시 영통구 센트럴타운로 85,4.55,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/38641900
지아니스나폴리 아비뉴프랑,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 1층 (스타벅스 맞은편),4.51,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36651893
라프란스,경기 수원시 장안구 팔달로316번길 15 1F,4.7,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1956501321
피자스쿨 수원연무점,경기 수원시 장안구 창훈로 3-2,4.6,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/18006606
마리나그란데,경기 수원시 영통구 대학1로58번길 13 . 1층 101호,4.32,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/84373897
맥도날드 동수원GSDT점,경기 수원시 영통구 창룡대로 370,4.41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/31373463
맘스터치 광교역점,경기 수원시 영통구 대학3로 1 광교 K타워 1층 맘스터치,4.49,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1262209700
올리브 1999,경기 수원시 영통구 센트럴파크로127번길 80-16 올리브1999,4.43,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/63352153
팬케익 팬트리,경기 수원시 영통구 센트럴파크로127번길 80-2 1층,4.47,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36982468
부리또정거장,경기 수원시 영통구 대학1로8번길 5 101호,4.63,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1720854328
소마바이네이쳐,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 c-122호 2층,4.57,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36674562
롯데리아 수원연무점,경기 수원시 장안구 창룡대로 197 1층,4.45,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/70056657
롯데리아 경기대역점,경기 수원시 영통구 대학4로 9 리치프라자2 1층,4.35,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/38512253
키친 토리노,경기 수원시 영통구 대학로 10 1층 키친토리노,4.53,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1976902545
뉴욕버거 이마트광교점,경기 수원시 영통구 광교로 191 광교점 2층 뉴욕버거,4.19,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1497525302
올리베떼,경기 수원시 영통구 대학로 56,4.5,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/676596406
에테르노,경기 수원시 영통구 센트럴타운로 107 204동 1-67호,4.91,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1215638449
대포햇도그 연무점,경기 수원시 장안구 월드컵로428번길 30-2,4.39,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1094477281
노리샌드위치,경기 수원시 영통구 에듀타운로 102 광교중앙역 SKVIEW B동 147호 노리샌드위치,4.44,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1637399355
파파존스 광교점,경기 수원시 영통구 센트럴타운로 107 제204동 1층 1-001호,4.5,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1065339605
