이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
면단지,일본식라면,경기 수원시 영통구 광교로 114 1층 107호,경기도 수원시 영통구 이의동 1351-1 1층 107호,0507-1303-7475,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00
20:30 라스트오더수
11:00 - 21:00
20:30 라스트오더목
11:00 - 21:00
20:30 라스트오더금
11:00 - 21:00
20:30 라스트오더토
11:00 - 21:00
20:30 라스트오더일
11:00 - 21:00
20:30 라스트오더월
11:00 - 21:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20230904_53/1693820730268GajWx_JPEG/E900A41E-0D75-4021-B30F-DA1F09724DF4.JPG,86,,202,37.2906069,127.0458146,"포장, 남/녀 화장실 구분, 대기공간, 간편결제, 주차",,https://www.instagram.com/_mendanji_ramen,73,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1494171499,"수원라멘,광교라멘,수원일식,쇼유라멘,라멘",2024-01-09 22:43:03 +0900
레인보우돈까스,돈가스,경기 수원시 장안구 창훈로60번길 36-2 104호,경기도 수원시 장안구 연무동 8-6 104호,0507-1377-1265,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00
20:30 라스트오더수
11:00 - 21:00
20:30 라스트오더목
11:00 - 21:00
20:30 라스트오더금
11:00 - 21:00
20:30 라스트오더토
11:00 - 21:00
20:30 라스트오더일
정기휴무 (매주 일요일)월
11:00 - 21:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20240107_137/1704636362814n4fbp_JPEG/IMG_8340.jpeg,21,,1,37.2986958,127.0299332,"포장, 예약, 단체 이용 가능",,,18,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1767051233,"돈까스,카레,카레돈까스,돈까스덮밥,치즈돈까스",2024-01-09 22:43:03 +0900
335kitchen 광교아브뉴프랑점,샤브샤브,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 2층 208호,경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 2층 208호,031-213-9480,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:30
20:00 라스트오더수
11:00 - 21:30
20:00 라스트오더목
11:00 - 21:30
20:00 라스트오더금
11:00 - 21:30
20:00 라스트오더토
11:00 - 21:30
20:00 라스트오더일
11:00 - 21:30
20:00 라스트오더월
11:00 - 21:30
20:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20151222_116/1450768351964hJ5NL_JPEG/167172564250728_0.jpg,744,4.35,1199,37.29068397513497,127.05038863233712,"예약, 단체 이용 가능, 주차, 남/녀 화장실 구분, 무선 인터넷",,http://app.catchtable.co.kr/ct/shop/335kitchen_gwanggyo,186,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/36528326,"샤브샤브,샐러드바,아브뉴프랑",2024-01-09 22:43:12 +0900
겐코쇼쿠도 경기대점,일식당,경기 수원시 영통구 대학로 34,경기도 수원시 영통구 이의동 1258-4,0507-1319-5306,,"영업 종료
10:00에 영업 시작
10시 0분에 영업 시작매일
10:00 - 21:00
접기",https://ldb-phinf.pstatic.net/20220921_219/1663755478388hOps7_JPEG/1663755418559.jpg,207,4.36,140,37.29908727421057,127.0436761568235,"포장, 남/녀 화장실 구분, 주차, 무선 인터넷",,http://genko.kr,67,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1584732999,"겐코,덮밥,라멘,대창덮밥,연어장동",2024-01-09 22:43:12 +0900
후라토식당 아브뉴프랑광교점,일식당,"경기 수원시 영통구 센트럴타운로 85 지1층 cb19, 20호","경기도 수원시 영통구 이의동 1332 지1층 cb19, 20호",0507-1482-7090,,"영업 종료
11:30에 영업 시작
11시 30분에 영업 시작화
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더수
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더목
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더금
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더토
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더일
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더월
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20230103_248/1672721749545WNEge_PNG/%BD%E6%B3%D7%C0%CF_1%B9%F8%C2%B0_%B4%EB%C7%A5%BB%E7%C1%F8.png,"1,332",4.58,476,37.29081799909036,127.0516979000001,"단체 이용 가능, 주차, 무선 인터넷, 남/녀 화장실 구분, 배달, 예약",,http://www.instagram.com/furato_gwanggyo/,494,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1160023764,"후라토,규카츠,광교,오므라이스,아브뉴프랑",2024-01-09 22:43:13 +0900
이자카야 연무,이자카야,경기 수원시 장안구 창훈로 61,경기도 수원시 장안구 연무동 213-3,010-7194-9457,,"영업 중
00:40에 라스트오더
0시 40분에 라스트오더화
18:00 - 02:00
00:40 라스트오더수
18:00 - 02:00
00:40 라스트오더목
18:00 - 02:00
00:40 라스트오더금
18:00 - 02:00
00:40 라스트오더토
18:00 - 02:00
00:40 라스트오더일
정기휴무 (매주 일요일)월
18:00 - 02:00
00:40 라스트오더
접기",https://ldb-phinf.pstatic.net/20220504_67/1651649892039IhNTM_JPEG/1650433114278-2.jpg,124,,155,37.2973581,127.0289908,"예약, 배달, 포장, 무선 인터넷, 단체 이용 가능",,,65,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/36369004,"연어회,수원이자카야,연무동,숙성회,모듬사시미",2024-01-09 22:43:15 +0900
역전우동0410 광교역경기대점,"우동,소바",경기 수원시 영통구 대학로 34 경기캠퍼스프라자 105호,경기도 수원시 영통구 이의동 1258-4 경기캠퍼스프라자 105호,031-212-0417,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:30 - 21:00
15:00 - 16:00 브레이크타임
20:30 라스트오더수
10:30 - 21:00
15:00 - 16:00 브레이크타임
20:30 라스트오더목
10:30 - 21:00
15:00 - 16:00 브레이크타임
20:30 라스트오더금
10:30 - 21:00
15:00 - 16:00 브레이크타임
20:30 라스트오더토
10:30 - 20:00
15:00 - 16:00 브레이크타임
19:30 라스트오더일
정기휴무 (매주 일요일)월
10:30 - 21:00
15:00 - 16:00 브레이크타임
20:30 라스트오더- 추석연휴 휴무일 (9/28,29 30, 10/1)
접기",https://ldb-phinf.pstatic.net/20220826_172/166148000156802Tqv_JPEG/%BF%AA%C0%FC%BF%EC%B5%BF_%BD%BA%B8%B6%C6%AE%C7%C3%B7%B9%C0%CC%BD%BA.jpg,295,,22,37.2993370799463,127.043581036923,"주차, 배달, 포장, 무선 인터넷, 남/녀 화장실 구분",,http://udon0410.com/,67,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1254088849,"우동,덮밥,냉모밀,우볶이,돈까스",2024-01-09 22:43:24 +0900
스시유카이,"초밥,롤",경기 수원시 영통구 센트럴파크로127번길 103-1,경기도 수원시 영통구 이의동 1309-2,070-4069-6564,,"영업 종료
12:00에 영업 시작
12시 0분에 영업 시작매일
12:00 - 22:00
15:00 - 18:00 브레이크타임
접기",https://ldb-phinf.pstatic.net/20170518_153/1495078204910dbbcF_JPEG/186468526024_0.jpg,245,4.33,536,37.2941091,127.0529451,"주차, 단체 이용 가능, 포장, 예약, 남/녀 화장실 구분",,http://catchtable.co.kr/sushi_yukaisuwon,121,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/526079944,"오마카세,광교오마카세,스시오마카세,사시미오마카세",2024-01-09 22:43:25 +0900
엉클정 타코야끼연구소,일식당,경기 수원시 영통구 대학3로4번길 12 이스턴타워 110호,경기도 수원시 영통구 이의동 1257-3 이스턴타워 110호,0507-1357-8917,,"영업 중
23:30에 라스트오더
23시 30분에 라스트오더화
14:30 - 24:00
23:30 라스트오더수
14:30 - 24:00
23:30 라스트오더목
14:30 - 24:00
23:30 라스트오더금
14:30 - 24:00
23:30 라스트오더토
정기휴무 (매주 토요일)일
정기휴무 (매주 일요일)월
14:30 - 24:00
23:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20220423_22/1650684955837pHu20_JPEG/20220419_210820.jpg,51,4.82,27,37.30011666529521,127.04350382774555,"주차, 포장, 배달, 남/녀 화장실 구분",,,16,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1389822469,,2024-01-09 22:43:28 +0900
심야식당 후라후라,이자카야,경기 수원시 영통구 센트럴타운로 107 월드스퀘어 1-120 심야식당 후라후라,경기도 수원시 영통구 이의동 1331 월드스퀘어 1-120 심야식당 후라후라,0507-1417-5454,,"오늘 휴무
매주 화요일 휴무
매주 화요일 휴무화
정기휴무 (매주 화요일)수
17:00 - 24:00
22:50 라스트오더목
17:00 - 24:00
22:50 라스트오더금
17:00 - 24:00
22:50 라스트오더토
17:00 - 24:00
22:50 라스트오더일
17:00 - 24:00
22:50 라스트오더월
17:00 - 24:00
22:50 라스트오더
접기",https://ldb-phinf.pstatic.net/20191211_253/1576061823442AEq55_JPEG/FitNUIz3YyopCatdl2XFyrgI.jpg,293,4.62,197,37.29199820000001,127.0492656,"예약, 주차, 무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분",,,146,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1852482619,"하이볼,개인화로,심야식당,이자까야,야끼니꾸",2024-01-09 22:43:30 +0900
