이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
명헌,중식당,경기 수원시 영통구 센트럴타운로100번길 14 명헌,경기도 수원시 영통구 이의동 1325-2 명헌,031-217-0126,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더화
11:30 - 22:00
14:30 - 17:00 브레이크타임
21:00 라스트오더수
11:30 - 22:00
14:30 - 17:00 브레이크타임
21:00 라스트오더목
11:30 - 22:00
14:30 - 17:00 브레이크타임
21:00 라스트오더금
11:30 - 22:00
14:30 - 17:00 브레이크타임
21:00 라스트오더토
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더일
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20211119_32/1637333788264KN8YH_JPEG/20210814_113240.jpg,289,4.79,288,37.29250575653992,127.05096337497264,"단체 이용 가능, 주차, 포장, 배달, 예약, 남/녀 화장실 구분, 무선 인터넷",,,152,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1897343825,,2024-01-09 21:13:03 +0900
뭐가남루,중식당,경기 수원시 영통구 센트럴타운로 92 105호,경기도 수원시 영통구 이의동 1325-6 105호,0507-1395-0886,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료화
11:00 - 22:00
15:00 - 17:00 브레이크타임수
11:00 - 22:00
15:00 - 17:00 브레이크타임목
11:00 - 22:00
15:00 - 17:00 브레이크타임금
11:00 - 22:00
15:00 - 17:00 브레이크타임토
11:00 - 22:00
15:00 - 17:00 브레이크타임일
11:00 - 22:00
15:00 - 17:00 브레이크타임월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20230608_292/1686203726034gEuT5_JPEG/IMG_20230604_162125_204.jpg,214,,266,37.29172849856449,127.05107078692978,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 간편결제, 주차",,,196,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1968363522,"육두장면,육즙탕수육,불맛크림짬뽕,고기김치짬뽕,양장피냉짬뽕",2024-01-09 21:13:06 +0900
홍화루,중식당,경기 수원시 팔달구 월드컵로321번길 5,경기도 수원시 팔달구 우만동 518-12,031-256-3352,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00
20:30 라스트오더수
11:00 - 21:00
20:30 라스트오더목
11:00 - 21:00
20:30 라스트오더금
11:00 - 21:00
20:30 라스트오더토
11:00 - 21:00
20:30 라스트오더일
11:00 - 21:00
20:30 라스트오더월
정기휴무 (매주 월요일)- 7/29~7/31 여름휴가 휴무
접기",https://ldb-phinf.pstatic.net/20230331_197/1680233733178RFj2X_JPEG/8F7B75C3-473E-4572-BB5C-681EC244B61B.jpeg,109,4.42,159,37.2866465,127.0334636,"예약, 단체 이용 가능, 포장, 남/녀 화장실 구분",,,41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/20361807,,2024-01-09 21:13:06 +0900
호중천,중식당,경기 수원시 영통구 대학1로8번길 54-3 선경빌라1층,경기도 수원시 영통구 이의동 1270-5 선경빌라1층,0507-1399-0661,,"오늘 휴무
매주 화요일 휴무
매주 화요일 휴무화
정기휴무 (매주 화요일)수
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더목
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더금
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더토
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더일
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더월
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:30 라스트오더- 10월 25일~30일 임시휴무 입니다.
접기",https://ldb-phinf.pstatic.net/20220404_23/1649053534391CFCWS_JPEG/%C8%A3%C1%DF%C3%B5_%B7%CE%B0%ED.jpg,77,,38,37.2977283,127.0440235,"포장, 예약, 배달",,https://0315480661.modoo.at/,22,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1395283360,"영통중식,영통중국집,이의동중식,이의동짬뽕,이의동짜장면",2024-01-09 21:13:08 +0900
불맛짬뽕집,중식당,경기 수원시 영통구 센트럴파크로127번길 80-14,경기도 수원시 영통구 이의동 1305-1,031-214-8789,,"영업 종료
10:00에 영업 시작
10시 0분에 영업 시작화
10:00 - 21:00수
10:00 - 21:00목
10:00 - 21:00금
10:00 - 21:00토
10:00 - 21:00일
10:00 - 21:00월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20210515_127/1621059649049ie2Vb_JPEG/image.jpg,175,4.61,37,37.29448706,127.05088321,,,,44,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1469938812,,2024-01-09 21:13:13 +0900
송탄영빈루 광교점,중식당,경기 수원시 영통구 센트럴타운로 85 지층 CB6호,경기도 수원시 영통구 이의동 1332 지층 CB6호,031-214-8688,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료매일
11:00 - 22:00
접기",,149,4.24,116,37.29039649288202,127.05173690610953,,,,41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1280838636,"마약짬뽕,짜장면,군만두,잡채밥,마약탕수육",2024-01-09 21:13:14 +0900
조원동 교동반점 광교점,중식당,경기 수원시 영통구 대학1로8번길 63,경기도 수원시 영통구 이의동 1266-2,031-212-1128,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:00 - 21:00
20:30 라스트오더수
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더목
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더금
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더토
10:00 - 21:00
20:30 라스트오더일
10:00 - 21:00
20:30 라스트오더월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20230214_132/1676339658620vfrlE_JPEG/%C1%B6%BF%F8%B5%BF2%C8%A3%C1%A1%BB%E7%B0%A2%B7%CE%B0%ED_220831.jpg,150,4.3,63,37.29808526967144,127.04485628356571,"예약, 단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분",,http://www.facebook.com/Gyodongbanjum,20,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/38643362,"경기대짬뽕,광교짬뽕,유니짜장찹쌀탕수육,교동반점,교동짬뽕",2024-01-09 21:13:18 +0900
황가네짬뽕,중식당,경기 수원시 영통구 대학로 60 리치프라자3 1층,경기도 수원시 영통구 이의동 1248-2 리치프라자3 1층,031-217-7333,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작매일
11:00 - 21:00
접기",https://ldb-phinf.pstatic.net/20180101_60/1514791775033atGwU_JPEG/j-AHxQTFaTou48ZhMeonbA8f.jpg,258,4.36,67,37.30093531190659,127.045792781906,"주차, 포장, 남/녀 화장실 구분, 예약",,,43,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1434410697,,2024-01-09 21:13:21 +0900
만다린,중식당,경기 수원시 장안구 창훈로60번길 40 팔복빌딩,경기도 수원시 장안구 연무동 8-9,031-241-6312,,"영업 중
21:30에 영업 종료
21시 30분에 영업 종료화
10:00 - 21:30수
10:00 - 21:30목
10:00 - 21:30금
10:00 - 21:30토
10:00 - 21:30일
10:00 - 21:30월(1/15)
정기휴무 (매달 1, 3번째 월요일)매달 1, 3번째 월요일 정기 휴무
접기",https://ldb-phinf.pstatic.net/20200818_103/1597741776763qy6Rn_JPEG/bVLxinVDWCVgwntc1Y_Rza_p.jpg,78,4.35,8,37.2989812703431,127.029921429298,"포장, 배달",,http://ok114.co.kr/0312416312,13,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/18007202,"중식당,중국집,짜장면,짬뽕,탕수육",2024-01-09 21:13:20 +0900
호접몽 광교,중식당,경기 수원시 영통구 센트럴타운로 107 광교푸르지오 월드마크 월드스퀘어 1층 105호,경기도 수원시 영통구 이의동 1331 광교푸르지오 월드마크 월드스퀘어 1층 105호,031-214-9987,,"영업 중
20:30에 라스트오더
20시 30분에 라스트오더화
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더수
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더목
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더금
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더토
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더일
정기휴무 (매주 일요일)월
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231220_269/1703077181448jAaaC_JPEG/0.jpg,173,4.23,93,37.29270452668002,127.04815157990186,"예약, 포장, 무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분, 유아의자, 간편결제, 주차",,,56,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1398271624,,2024-01-09 21:13:23 +0900
