이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
남도예찬,한정식,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층 아띠존 C111,경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 아띠존 C111,0507-1362-8576,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료매일
10:00 - 22:00- 가게 사정에 의하여 영업시간이 단축될 수 있습니다
접기",https://ldb-phinf.pstatic.net/20210223_211/1614067677733I46Mx_JPEG/yNcdyymBiB4rxwIxRCtwBiAx.jpeg.jpg,888,4.48,12786,37.29083975,127.0516287,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설",,http://www.namdoyechan.com,370,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1026282129,"보리굴비,수원한정식,수원상견례,수원돌잔치,수원칠순잔치",2024-01-09 20:59:34 +0900
낙원갈비집 수원월드컵점,"육류,고기요리",경기 수원시 팔달구 월드컵로 307 1층,경기도 수원시 팔달구 우만동 519 1층,0507-1393-8593,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료매일
11:30 - 22:00
15:00 - 16:30 브레이크타임
접기",https://ldb-phinf.pstatic.net/20230908_129/1694142213100atFs7_JPEG/KakaoTalk_20221018_114207339_05.jpg,"4,887",4.75,3624,37.28563737,127.0345859,"단체 이용 가능, 예약, 주차, 포장, 남/녀 화장실 구분, 무선 인터넷",,https://www.instagram.com/nakwon.suwonworld,"3,811",https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1198987964,"고기집,고깃집,갈비집,샤브샤브,돼지갈비",2024-01-09 20:59:34 +0900
선비칼국수 광교중앙역점,"칼국수,만두",경기 수원시 영통구 도청로 95 유니코어 배타동 1층 선비손칼국수,경기도 수원시 영통구 이의동 1351-6 유니코어 배타동 1층 선비손칼국수,0507-1372-4776,,"영업 종료
10:00에 영업 시작
10시 0분에 영업 시작화
10:00 - 20:00
19:30 라스트오더수
10:00 - 20:00
19:30 라스트오더목
10:00 - 20:00
19:30 라스트오더금
10:00 - 20:00
19:30 라스트오더토
10:00 - 20:00
19:30 라스트오더일
10:00 - 20:00
19:30 라스트오더월
10:00 - 20:00
19:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20230914_92/1694685863829YGPsG_JPEG/KakaoTalk_20230901_101944882_06.jpg,602,4.75,1830,37.2906405,127.0480364,"주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 배달, 단체 이용 가능",,,215,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1142521317,"광교칼국수,광교호수공원칼국수,광교냉모밀,광교손칼국수,광교중앙역칼국수",2024-01-09 20:59:35 +0900
갈풍집,소고기구이,경기 수원시 영통구 대학1로8번길 83,경기도 수원시 영통구 이의동 1266-7,0507-1483-1341,,"영업 중
22:00에 라스트오더
22시 0분에 라스트오더매일
17:00 - 23:00
22:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20230620_34/1687242449064dpvIj_JPEG/KakaoTalk_20230620_135824497.jpg,207,4.33,458,37.2980977,127.045863,"단체 이용 가능, 무선 인터넷, 유아의자",,,60,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37089394,"소갈비살,회식,소고기,고기집,술집",2024-01-09 20:59:35 +0900
동태찌개유명한집 연무본점,"매운탕,해물탕",경기 수원시 장안구 창룡대로207번길 5 1층,경기도 수원시 장안구 연무동 245-15 1층,031-253-6265,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더화
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더수
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더목
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더금
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더토
08:00 - 22:00
21:00 라스트오더일
08:00 - 22:00
21:00 라스트오더월
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20211021_18/1634808289257wiq5E_PNG/gRDIIKGRcKfPCvxmEoKfknNw.png,574,4.34,226,37.292925,127.032654,"단체 이용 가능, 포장, 예약",,,107,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/20601703,"동태찌개,동태",2024-01-09 20:59:35 +0900
부마보쌈족발 본점,"족발,보쌈",경기 수원시 영통구 센트럴타운로 103 1층,경기도 수원시 영통구 이의동 1330-1 1층,0507-1442-8881,,"영업 중
21:30에 라스트오더
21시 30분에 라스트오더매일
11:00 - 22:00
14:30 - 16:00 브레이크타임
21:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231206_268/1701839720988l7Eta_JPEG/KakaoTalk_20231205_191718514_05.jpg,849,4.52,443,37.29196841,127.0496827,"예약, 배달, 포장, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 주차",,https://blog.naver.com/buma-,622,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/35807078,"광교족발,광교보쌈,광교회식,광교모임,광교점심",2024-01-09 20:59:38 +0900
황소갈비 월드스퀘어점,소고기구이,경기 수원시 영통구 센트럴타운로 107 204호 지하1층 b-70호,경기도 수원시 영통구 이의동 1331 204호 지하1층 b-70호,0507-1433-9289,,"영업 중
23:00에 영업 종료
23시 0분에 영업 종료매일
17:00 - 23:00
접기",https://ldb-phinf.pstatic.net/20171226_263/1514286126256yHaLX_JPEG/4AtvjBlkqp0dzF3996owlDfZ.jpg,154,4.74,663,37.2925705,127.0481335,"예약, 주차, 남/녀 화장실 구분, 무선 인터넷",,http://mtsolution.co.kr/cowrib,78,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1208032233,"소갈비살,광교고기집,광교소고기집",2024-01-09 20:59:38 +0900
담솥 광교아브뉴프랑점,한식,경기 수원시 영통구 센트럴타운로 85 203동 지상 1층 Cb37-1호,경기도 수원시 영통구 이의동 1332 203동 지상 1층 Cb37-1호,0507-1377-3987,,"곧 영업 종료
21:00에 영업 종료
21시 0분에 영업 종료화
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더수
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더목
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더금
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더토
11:00 - 21:00
15:30 - 17:00 브레이크타임
20:30 라스트오더일
11:00 - 21:00
15:30 - 17:00 브레이크타임
20:30 라스트오더월
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231109_54/1699490353898ET0I0_JPEG/A526FF08-F37B-4400-A849-4EB1C55E0985.jpeg,808,,850,37.2916848,127.0501324,"무선 인터넷, 남/녀 화장실 구분, 유아의자, 주차",,https://www.instagram.com/gwanggyo_damsot,669,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1081617066,"광교밥집,광교한식,광교점심,솥밥,광교저녁",2024-01-09 20:59:39 +0900
달보드레,한정식,,경기도 수원시 팔달구 우만동 산9-2 달보드레,0507-1421-7900,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료화
10:00 - 22:00
10:10 - 11:30 브레이크타임
15:00 - 17:00 브레이크타임수
10:00 - 22:00
10:10 - 11:30 브레이크타임
15:00 - 17:00 브레이크타임목
10:00 - 22:00
10:10 - 11:30 브레이크타임
15:00 - 17:00 브레이크타임금
10:00 - 22:00
10:10 - 11:30 브레이크타임
15:00 - 17:00 브레이크타임토
10:00 - 22:00일
10:00 - 22:00월
정기휴무 (매주 월요일)- 오전식사 11:30부터 / 오후식사 17:30 부터
접기",https://ldb-phinf.pstatic.net/20220905_269/1662364568385rb96K_JPEG/KakaoTalk_20220905_152948920.jpg,585,,987,37.2896228,127.0394308,"예약, 단체 이용 가능, 주차",,http://www.dalbodre.kr/,191,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/35258128,"수원한정식,퓨전한정식,수원레스토랑,수원코스요리,수원상견례",2024-01-09 20:59:43 +0900
대낚식당 광교점,한식,경기 수원시 영통구 대학1로50번길 21 1층,경기도 수원시 영통구 이의동 1261-10 1층,0507-1384-9288,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더화
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더수
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더목
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더금
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더토
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더일
정기휴무 (매주 일요일)월
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20230817_114/1692239907233zTKBm_JPEG/IMG_6398.jpg,229,,571,37.2989808,127.0445668,"단체 이용 가능, 포장, 배달, 예약, 남/녀 화장실 구분",,,52,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1205862575,"곱도리탕,대창,전골,곱창,술집",2024-01-09 20:59:44 +0900
