이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
라고,이탈리아음식,경기 수원시 영통구 센트럴타운로 85 광교 아브뉴프랑 1층 중앙광장,경기도 수원시 영통구 이의동 1332 광교 아브뉴프랑 1층 중앙광장,031-216-3401,,"영업 종료
11:30에 영업 시작
11시 30분에 영업 시작매일
11:30 - 22:00
15:30 - 17:30 브레이크타임
14:15 라스트오더- L.O.: Lunch 14:20/Dinner 20:20
접기",https://ldb-phinf.pstatic.net/20221029_97/1667034603088PcQ0H_JPEG/IMG_9816.JPG,"1,573",4.76,795,37.290156044068816,127.050638368122,"예약, 단체 이용 가능, 주차, 무선 인터넷, 남/녀 화장실 구분",,http://instagram.com/lago____/,492,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/37838366,"파인다이닝,스테이크,라고라운지,오마카세,데이트",2024-01-09 22:27:29 +0900
오이탈리안,이탈리아음식,경기 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,0507-1401-0109,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:15
15:00 - 17:30 브레이크타임
20:30 라스트오더수
11:00 - 21:15
15:00 - 17:30 브레이크타임
20:30 라스트오더목
11:00 - 21:15
15:00 - 17:30 브레이크타임
20:30 라스트오더금
11:00 - 21:15
15:00 - 17:30 브레이크타임
20:30 라스트오더토
11:00 - 21:15
15:00 - 17:00 브레이크타임
20:30 라스트오더일
11:00 - 21:15
15:00 - 17:00 브레이크타임
20:30 라스트오더월
11:00 - 21:15
15:00 - 17:30 브레이크타임
20:30 라스트오더- 재료소진시 조기마감됩니다:)
접기",https://ldb-phinf.pstatic.net/20230918_267/1694969070036Eg5CN_JPEG/825D0CE7-7847-4729-A51F-B6FCA8B3600A.jpeg,811,4.55,1091,37.2916419683789,127.05009591084101,"예약, 단체 이용 가능, 주차, 남/녀 화장실 구분, 무선 인터넷, 포장",,http://www.onfcompany.com,249,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/38641900,"파스타,스테이크,광교이탈리안,광교파스타,폭탄치즈식전빵",2024-01-09 22:27:30 +0900
뜨라또리아 로마냐,이탈리아음식,경기 수원시 영통구 대학1로8번길 81 1층,경기도 수원시 영통구 이의동 1266-6 1층,0507-1370-2944,,"영업 종료
11:30에 영업 시작
11시 30분에 영업 시작화
11:30 - 20:00
15:00 - 17:30 브레이크타임
19:30 라스트오더수
11:30 - 20:00
15:00 - 17:30 브레이크타임
19:30 라스트오더목
11:30 - 20:00
15:00 - 17:30 브레이크타임
19:30 라스트오더금
11:30 - 20:00
15:00 - 17:30 브레이크타임
19:30 라스트오더토
11:30 - 20:00
15:00 - 17:30 브레이크타임
19:30 라스트오더일
정기휴무 (매주 일요일)월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20230802_224/1690950331593e8FA3_JPEG/ROMAGNA.jpg,47,,10,37.29802530000001,127.04567410000001,"예약, 단체 이용 가능, 반려동물 동반, 무선 인터넷",,https://app.catchtable.co.kr/ct/shop/ROMAGNA,38,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1403466505,"Pizza,Pasta,Bisteca,Ravioli",2024-01-09 22:27:33 +0900
자민,양식,경기 수원시 영통구 센트럴파크로127번길 74 1층 101호,경기도 수원시 영통구 이의동 1306-1 1층 101호,0507-1359-1073,,"오늘 휴무
01/09 휴무
01/09 휴무화(1/9)
휴무수(1/10)
휴무목(1/11)
휴무금(1/12)
휴무토(1/13)
휴무일(1/14)
휴무월(1/15)
휴무01/08-01/31 휴무
접기",https://ldb-phinf.pstatic.net/20231126_159/1700995456621LhsoB_JPEG/1000003741.jpg,224,,117,37.2944986,127.0523778,"무선 인터넷, 주차",,https://www.instagram.com/jamin_suwon,184,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1775420835,"파스타,레스토랑,브런치,소개팅,분위기",2024-01-09 22:27:33 +0900
누룩,양식,경기 수원시 팔달구 창룡대로 90-5 누룩,경기도 수원시 팔달구 남수동 11-110 누룩,0507-1347-0671,,"영업 중
24:00에 영업 종료
0시 0분에 영업 종료매일
14:00 - 24:00
접기",https://ldb-phinf.pstatic.net/20231229_65/17037905646127bpDv_JPEG/77FBD150-331E-4205-AC1D-EDAE5ADE4DD9.jpeg,39,,92,37.2862901,127.0238946,"단체 이용 가능, 예약, 무선 인터넷",,https://www.instagram.com/nuruk.kr,34,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1935318709,,2024-01-09 22:27:35 +0900
언락,이탈리아음식,경기 수원시 영통구 대학1로58번길 16 1층,경기도 수원시 영통구 이의동 1262-5 1층,0507-1367-5816,,"영업 중
23:00에 라스트오더
23시 0분에 라스트오더화
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더수
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더목
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더금
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더토
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더일
정기휴무 (매주 일요일)월
11:00 - 24:00
15:00 - 17:00 브레이크타임
23:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20231007_238/1696669160943v0Yir_JPEG/temp_file.jpg,48,,22,37.2988398,127.0453278,,,https://www.instagram.com/un_lock.u,39,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1584670172,"피자,파스타,소주,맥주,하이볼",2024-01-09 22:27:36 +0900
지아니스나폴리 아비뉴프랑,피자,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 1층 (스타벅스 맞은편),경기도 수원시 영통구 이의동 1332 아브뉴프랑 1층 (스타벅스 맞은편),0507-1469-0420,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:20
15:00 - 17:00 브레이크타임
20:10 라스트오더수
11:00 - 21:20
15:00 - 17:00 브레이크타임
20:10 라스트오더목
11:00 - 21:20
15:00 - 17:00 브레이크타임
20:10 라스트오더금
11:00 - 21:20
15:00 - 17:00 브레이크타임
20:10 라스트오더토
11:00 - 21:20
20:10 라스트오더일
11:00 - 21:20
20:10 라스트오더월
11:00 - 21:20
15:00 - 17:00 브레이크타임
20:10 라스트오더- 메뉴 리뉴얼을 위한 주방공사로 1월3일(수) 임시휴무
접기",https://ldb-phinf.pstatic.net/20151222_76/1450768700469dJjVC_JPEG/167172564839198_5.jpg,870,4.51,902,37.29089039909037,127.0499004000001,"예약, 단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분",,https://www.instagram.com/gianis_napoli,293,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36651893,"정통나폴리피자,나폴리핏제리아,정통이태리피자",2024-01-09 22:27:44 +0900
윤세영식당 광교직영점,양식,경기 수원시 영통구 웰빙타운로36번길 46-105 1층,경기도 수원시 영통구 이의동 1216-6 1층,0507-1422-3426,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더수
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더목
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더금
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더토
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더일
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더월
11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더- 8월 29일 부터 화요일도 오픈. 많은 이용부탁드립니다
접기",https://ldb-phinf.pstatic.net/20230411_105/1681181543271nXt23_JPEG/%BF%AC%BE%EE%B5%A4%B9%E4.jpg,,,559,37.3088773,127.05174790000001,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 포장",,,,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1274908188,"광교레스토랑,광교스테이크,광교파스타,광교와인,광교식당",2024-01-09 22:27:47 +0900
라프란스,양식,경기 수원시 장안구 팔달로316번길 15 1F,경기도 수원시 장안구 영화동 118-8 1F,0507-1356-3845,,"오늘 휴무
매주 화요일 휴무
매주 화요일 휴무화
정기휴무 (매주 화요일)수
12:00 - 20:00
15:30 - 17:30 브레이크타임
19:00 라스트오더목
12:00 - 20:00
15:30 - 17:30 브레이크타임
19:00 라스트오더금
12:00 - 20:00
15:30 - 17:30 브레이크타임
19:00 라스트오더토
12:00 - 15:30
14:30 라스트오더일
12:00 - 15:30
14:30 라스트오더월
정기휴무 (매주 월요일)- 주말 및 공휴일 재료소진시 공지 후 마감될 수 있습니다
접기",https://ldb-phinf.pstatic.net/20221003_136/1664737454877uDwFL_JPEG/E76E43C4-FBB9-4942-9C4D-112834E1C534.jpeg,264,4.7,468,37.2914898,127.0192199,"무선 인터넷, 포장",,http://www.instagram.com/kitchen_rafrance,172,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1956501321,"행궁동,행궁동밥집,수원화성밥집,행궁동카레",2024-01-09 22:27:49 +0900
피자스쿨 수원연무점,피자,경기 수원시 장안구 창훈로 3-2,경기도 수원시 장안구 연무동 246-17,031-255-5082,,"오늘 휴무
매주 화요일 휴무
매주 화요일 휴무화
정기휴무 (매주 화요일)수
11:00 - 23:00목
11:00 - 23:00금
11:00 - 23:00토
11:00 - 23:00일
11:00 - 23:00월
11:00 - 23:00- 1월1일 정상영업합니다
접기",https://ldb-phinf.pstatic.net/20171027_251/1509094540657UN7jg_JPEG/31Lbzw4vx9y5_AmJLefzWmGS.jpg,325,4.6,22,37.29283509671936,127.03089546819511,포장,,,50,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/18006606,"고구마피자,고구마치즈크러스트피자,직화홀릭바이트피자,도이치바이트피자,아동급식카드",2024-01-09 22:27:51 +0900
