이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
큰맘할매순대국 연무동점,한식,경기 수원시 장안구 창훈로60번길 33 1층 큰맘할매순대국,경기도 수원시 장안구 연무동 11-48 1층 큰맘할매순대국,031-246-3337,,"영업 종료
09:00에 영업 시작
9시 0분에 영업 시작매일
09:00 - 21:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20190426_257/1556242852138o8NXJ_JPEG/8eYVC2c688j8e9aINbA89C5p.jpg,43,,4,37.29879820248558,127.02973453257026,"포장, 배달, 무선 인터넷",,http://www.bkfood.kr/,10,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/1209561769,"순대국,뼈해장국,보쌈,토종순대,큰맘순대국",2024-01-08 23:38:40 +0900
동태찌개유명한집 연무본점,한식,경기 수원시 장안구 창룡대로207번길 5 1층,경기도 수원시 장안구 연무동 245-15 1층,031-253-6265,,"영업 종료
08:00에 영업 시작
8시 0분에 영업 시작월
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더화
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더수
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더목
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더금
08:00 - 22:00
15:30 - 16:30 브레이크타임
21:00 라스트오더토
08:00 - 22:00
21:00 라스트오더일
08:00 - 22:00
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20211021_18/1634808289257wiq5E_PNG/gRDIIKGRcKfPCvxmEoKfknNw.png,574,4.34,226,37.292925,127.032654,"단체 이용 가능, 포장, 예약",,,107,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/20601703,"동태찌개,동태",2024-01-08 23:38:44 +0900
사또통족발 경기본점,한식,경기 수원시 장안구 연무로 37-2,경기도 수원시 장안구 연무동 237-7,0507-1342-8263,,"오늘 휴무
매주 월요일 휴무
매주 월요일 휴무월
정기휴무 (매주 월요일)화
15:00 - 22:00수
15:00 - 22:00목
15:00 - 22:00금
15:00 - 22:00토
15:00 - 22:00일
15:00 - 22:00- 매장 10시마감 포장배달11시까지 운영 메뉴품절시 마감
접기",https://ldb-phinf.pstatic.net/20210721_106/16268405135417BrXW_JPEG/cqcttf-LLb7w4vvaG7V23tYg.jpg,,4.58,454,37.29481537662631,127.027100876349,"예약, 포장, 배달, 단체 이용 가능",,https://sattojobal.modoo.at,,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/21855010,"족발,보쌈,마늘족발,포장,배달",2024-01-08 23:38:50 +0900
홍두깨손칼국수,한식,경기 수원시 장안구 창훈로66번길 17 1층,경기도 수원시 장안구 연무동 11-25 1층,0507-1383-1441,,"오늘 휴무
매주 월요일 휴무
매주 월요일 휴무월
정기휴무 (매주 월요일)화
10:00 - 20:00수
10:00 - 20:00목
10:00 - 20:00금
10:00 - 20:00토
10:00 - 20:00일
10:00 - 20:00
접기",https://ldb-phinf.pstatic.net/20220519_88/1652923537032ChLyI_JPEG/1651543679649.jpg,111,,76,37.2984413,127.028929,"주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분",,https://blog.naver.com/iceman300,51,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/1809424525,"연무동칼국수,연무동수제비,연무동비빔국수,연무동콩국수,연무동밀냉면",2024-01-08 23:38:54 +0900
계모임,한식,경기 수원시 장안구 창훈로80번길 34-3 1층 계모임,경기도 수원시 장안구 연무동 11-38 1층 계모임,0507-1343-3666,,"영업 종료
내일 휴무
내일 휴무월
11:00 - 21:30
21:00 라스트오더화
정기휴무 (매주 화요일)수
11:00 - 21:30
21:00 라스트오더목
11:00 - 21:30
21:00 라스트오더금
11:00 - 21:30
21:00 라스트오더토
11:00 - 21:00
20:30 라스트오더일
11:00 - 21:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231012_27/1697112578937cuXkI_JPEG/63B3D767-E1AB-48F9-ADBE-EBF04A60BAAC.jpeg,56,,3,37.2991972,127.0286254,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 포장, 주차",,,43,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/1323004300,"직화닭불고기,탕수기,일품식덮밥,닭고기,닭요리",2024-01-08 23:38:55 +0900
무한리필닭갈비,한식,경기 수원시 장안구 창훈로 71 무한리필닭갈비,경기도 수원시 장안구 연무동 212-9 무한리필닭갈비,0507-1494-8386,,"영업 종료
13:00에 영업 시작
13시 0분에 영업 시작월
13:00 - 23:00화
13:00 - 23:00수
13:00 - 23:00목
13:00 - 23:00금
13:00 - 23:00토
13:00 - 23:00일
13:00 - 23:00
접기",https://ldb-phinf.pstatic.net/20180531_299/1527732601941d0mAw_JPEG/YNw8jYxWoVq0eXGg8etm120Z.jpg,71,4.53,11,37.297682,127.0280479,"포장, 예약, 단체 이용 가능, 주차",,,36,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/34963082,"닭갈비,무한리필,경기대,광교산,연무시장",2024-01-08 23:39:05 +0900
왕십리곱창 경기대점,한식,경기 수원시 장안구 연무로42번길 45,경기도 수원시 장안구 연무동 216-20,031-244-8887,,"영업 종료
15:00에 영업 시작
15시 0분에 영업 시작월
15:00 - 23:00화
15:00 - 23:00수
15:00 - 23:00목
15:00 - 23:00금
15:00 - 23:00토
15:00 - 23:00일
15:00 - 23:00
접기",https://ldb-phinf.pstatic.net/20220222_41/1645535190795R016N_JPEG/1645535011520-0.jpg,61,4.2,55,37.29683439999951,127.02799110000059,"단체 이용 가능, 주차, 포장, 남/녀 화장실 구분, 무선 인터넷, 예약, 배달",,,12,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/35221490,"치즈곱창,순대야채곱창",2024-01-08 23:39:06 +0900
인생족발보쌈국밥,한식,경기 수원시 장안구 연무로42번길 58-4,경기도 수원시 장안구 연무동 213-11,0507-1407-1165,,"영업 중
01:00에 영업 종료
1시 0분에 영업 종료월
15:00 - 01:00화
15:00 - 01:00수
15:00 - 01:00목
15:00 - 01:00금
15:00 - 01:00토
15:00 - 01:00일
15:00 - 01:00
접기",https://ldb-phinf.pstatic.net/20230421_152/1682061469895JTgSK_JPEG/KakaoTalk_20230419_131449659_01.jpg,,,0,37.29730051274348,127.028491415187,"포장, 예약",,,,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/1009053028,"족발,보쌈,콩나물국밥,굴보쌈,불족발",2024-01-08 23:39:08 +0900
연무장어,한식,경기 수원시 장안구 월드컵로428번길 19 연무시장 내 현대마트건물 1층5호,경기도 수원시 장안구 연무동 235-14 연무시장 내 현대마트건물 1층5호,010-4054-0399,,"영업 종료
11:30에 영업 시작
11시 30분에 영업 시작월
11:30 - 21:00화
11:30 - 21:00수
정기휴무 (매주 수요일)목
11:30 - 21:00금
11:30 - 21:00토
11:30 - 21:00일
11:30 - 21:00
접기",https://ldb-phinf.pstatic.net/20220203_189/1643850746296gY0ml_JPEG/IMG_20220108_224547_013.jpg,23,,4,37.2945108,127.0259517,"주차, 남/녀 화장실 구분, 포장, 배달",,https://m.blog.naver.com/jayunsup,2,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/1942999046,"장어,수원장어,장어구이,장어탕,수원장어구이",2024-01-08 23:39:09 +0900
장어 패밀리,한식,경기 수원시 장안구 연무로42번길 58-13,경기도 수원시 장안구 연무동 213-5,031-255-8892,,"오늘 휴무
매주 월요일 휴무
매주 월요일 휴무월
정기휴무 (매주 월요일)화
13:00 - 22:00수
13:00 - 22:00목
13:00 - 22:00금
13:00 - 22:00토
13:00 - 22:00일
13:00 - 22:00
접기",https://ldb-phinf.pstatic.net/20200612_18/1591960485016iPlF5_JPEG/48kGFNfiaDBBUYfwKyfERlbE.jpg,22,4.47,20,37.297283,127.0291649,"예약, 남/녀 화장실 구분, 무선 인터넷, 포장, 주차",,,7,https://map.naver.com/p/search/%08%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EB%8F%99%20%ED%95%9C%EC%8B%9D/place/31240426,,2024-01-08 23:39:10 +0900
